Date,IntDate,Open,High,Low,Close,Adj Close,Volume
3/24/1980,0,2.916667,2.916667,2.239583,2.541667,2.541667,3344400
3/31/1980,1,2.541667,2.770833,2.520833,2.635417,2.635417,1432800
4/7/1980,2,2.614583,2.770833,2.5,2.635417,2.635417,1538400
4/14/1980,3,2.635417,2.645833,2.270833,2.322917,2.322917,2169600
4/21/1980,4,2.322917,2.8125,2.28125,2.708333,2.708333,3043200
4/28/1980,5,2.71875,2.791667,2.416667,2.46875,2.46875,1702800
5/5/1980,6,2.5,2.729167,2.5,2.541667,2.541667,1180800
5/12/1980,7,2.541667,2.78125,2.520833,2.666667,2.666667,1167600
5/19/1980,8,2.666667,2.989583,2.666667,2.989583,2.989583,1942800
5/26/1980,9,3,3.208333,3,3.166667,3.166667,1622400
6/2/1980,10,3.166667,3.166667,2.96875,3,3,1286400
6/9/1980,11,3,3.104167,2.864583,3.09375,3.09375,1544400
6/16/1980,12,3.09375,3.09375,2.927083,2.927083,2.927083,1383600
6/23/1980,13,2.927083,3.125,2.90625,3.041667,3.041667,982800
6/30/1980,14,3.041667,3.364583,3.010417,3.34375,3.34375,972000
7/7/1980,15,3.447917,3.635417,3.333333,3.614583,3.614583,2328000
7/14/1980,16,3.65625,3.822917,3.604167,3.614583,3.614583,2060400
7/21/1980,17,3.614583,3.65625,3.489583,3.510417,3.510417,1906800
7/28/1980,18,3.510417,4.291667,3.458333,4.260417,4.260417,3224400
8/4/1980,19,4.260417,4.416667,4.208333,4.270833,4.270833,1840800
8/11/1980,20,4.270833,4.5,4.270833,4.333333,4.333333,1856400
8/18/1980,21,4.322917,4.583333,3.90625,4.5625,4.5625,2742000
8/25/1980,22,4.5625,4.75,4.135417,4.270833,4.270833,1863600
9/1/1980,23,4.25,4.541667,4.177083,4.53125,4.53125,1351200
9/8/1980,24,4.520833,4.5625,4.21875,4.395833,4.395833,1636800
9/15/1980,25,4.375,5.125,4.3125,5.03125,5.03125,2586000
9/22/1980,26,5.083333,5.822917,5.020833,5.114583,5.114583,3337200
9/29/1980,27,4.958333,5.239583,4.71875,5.177083,5.177083,3285600
10/6/1980,28,5.21875,5.541667,5.166667,5.166667,5.166667,1749600
10/13/1980,29,5.229167,5.395833,5.0625,5.09375,5.09375,1215600
10/20/1980,30,5.09375,5.25,5.020833,5.25,5.25,1106400
10/27/1980,31,5.166667,5.166667,4.520833,4.791667,4.791667,1861200
11/3/1980,32,4.791667,5.916667,4.791667,5.145833,5.145833,2024800
11/10/1980,33,5.1875,6.583333,5.1875,6.333333,6.333333,1845200
11/17/1980,34,6.333333,7.416667,6.0625,6.791667,6.791667,2926400
11/24/1980,35,6.791667,7.145833,6.520833,6.958333,6.958333,1155600
12/1/1980,36,6.958333,7.125,6.166667,6.25,6.25,1676800
12/8/1980,37,6.208333,6.25,5.375,5.854167,5.854167,3692400
12/15/1980,38,5.854167,6,4.9375,4.958333,4.958333,2790800
12/22/1980,39,4.958333,5.708333,4.916667,5.6875,5.6875,2445200
12/29/1980,40,5.6875,6.041667,5.416667,5.875,5.875,1256800
1/5/1981,41,5.875,5.979167,4.541667,4.541667,4.541667,4318800
1/12/1981,42,4.604167,4.791667,4.5625,4.729167,4.729167,2768000
1/19/1981,43,4.729167,4.833333,4.291667,4.375,4.375,1512000
1/26/1981,44,4.270833,4.270833,3.895833,3.9375,3.9375,3202400
2/2/1981,45,3.895833,4.416667,3.333333,4.291667,4.291667,3139600
2/9/1981,46,4.291667,4.395833,3.729167,3.770833,3.770833,914400
2/16/1981,47,3.791667,4.041667,3.666667,3.708333,3.708333,1876000
2/23/1981,48,3.708333,4,3.520833,3.875,3.875,2573600
3/2/1981,49,3.875,4.166667,3.729167,3.833333,3.833333,1188000
3/9/1981,50,3.833333,4.125,3.729167,3.958333,3.958333,1006000
3/16/1981,51,3.958333,4.4375,3.9375,4.166667,4.166667,1665600
3/23/1981,52,4.166667,4.541667,4.166667,4.291667,4.291667,2032800
3/30/1981,53,4.291667,4.395833,4.041667,4.0625,4.0625,1920400
4/6/1981,54,4.0625,4.520833,3.9375,4.416667,4.416667,2839200
4/13/1981,55,4.416667,4.8125,4.354167,4.791667,4.791667,2514000
4/20/1981,56,4.791667,5.166667,4.708333,4.9375,4.9375,3622800
4/27/1981,57,4.9375,4.979167,4.416667,4.4375,4.4375,2061200
5/4/1981,58,4.416667,4.6875,4.1875,4.5625,4.5625,827600
5/11/1981,59,4.5625,4.75,4.333333,4.541667,4.541667,974000
5/18/1981,60,4.583333,4.666667,4.333333,4.458333,4.458333,1095600
5/25/1981,61,4.458333,4.833333,4.416667,4.75,4.75,1620400
6/1/1981,62,4.75,4.958333,4.229167,4.375,4.375,2041600
6/8/1981,63,4.375,4.5,4.229167,4.458333,4.458333,824400
6/15/1981,64,4.458333,4.520833,3.916667,4.0625,4.0625,1388800
6/22/1981,65,4.0625,4.166667,3.770833,4.125,4.125,1586000
6/29/1981,66,4.125,4.166667,3.5,3.583333,3.583333,1892800
7/6/1981,67,3.583333,3.875,3.5,3.541667,3.541667,1310400
7/13/1981,68,3.541667,3.666667,3.5,3.645833,3.645833,643200
7/20/1981,69,3.645833,3.666667,3.541667,3.604167,3.604167,528800
7/27/1981,70,3.604167,3.625,3.333333,3.333333,3.333333,1166400
8/3/1981,71,3.333333,3.395833,3.1875,3.229167,3.229167,1270000
8/10/1981,72,3.229167,3.479167,3.1875,3.479167,3.479167,699200
8/17/1981,73,3.479167,3.541667,3.291667,3.291667,3.291667,1316800
8/24/1981,74,3.229167,3.229167,3.083333,3.145833,3.145833,782000
8/31/1981,75,3.145833,3.166667,2.875,2.979167,2.979167,1229200
9/7/1981,76,2.958333,3.145833,2.833333,3.145833,3.145833,986000
9/14/1981,77,3.145833,3.166667,2.666667,2.75,2.75,1349200
9/21/1981,78,2.75,2.770833,2.4375,2.458333,2.458333,1692400
9/28/1981,79,2.458333,3.041667,2.333333,2.979167,2.979167,1341600
10/5/1981,80,2.979167,3.083333,2.8125,2.9375,2.9375,1316800
10/12/1981,81,2.958333,3.291667,2.958333,3.125,3.125,1429600
10/19/1981,82,3.125,3.416667,2.958333,2.979167,2.979167,1758800
10/26/1981,83,2.979167,3.333333,2.958333,3.291667,3.291667,1141200
11/2/1981,84,3.354167,3.541667,3.166667,3.229167,3.229167,1035200
11/9/1981,85,3.229167,3.291667,2.875,2.875,2.875,1013600
11/16/1981,86,2.875,2.9375,2.791667,2.895833,2.895833,834000
11/23/1981,87,2.895833,3,2.729167,2.729167,2.729167,941200
11/30/1981,88,2.729167,3.125,2.729167,3.041667,3.041667,1388800
12/7/1981,89,3.041667,3.0625,2.875,2.979167,2.979167,760400
12/14/1981,90,2.9375,3.020833,2.875,3,3,804800
12/21/1981,91,3,3.0625,2.958333,3.020833,3.020833,645600
12/28/1981,92,3.020833,3.0625,2.895833,2.9375,2.9375,739200
1/4/1982,93,2.9375,3,2.75,2.770833,2.770833,620400
1/11/1982,94,2.770833,2.791667,2.583333,2.666667,2.666667,1964400
1/18/1982,95,2.666667,2.916667,2.625,2.875,2.875,1068000
1/25/1982,96,2.875,3.333333,2.833333,3.270833,3.270833,1504800
2/1/1982,97,3.229167,3.291667,2.958333,3.145833,3.145833,2371600
2/8/1982,98,3.104167,3.104167,2.895833,2.916667,2.916667,717200
2/15/1982,99,2.916667,3.104167,2.791667,2.958333,2.958333,872400
2/22/1982,100,2.958333,3.1875,2.833333,3.125,3.125,1801600
3/1/1982,101,3.166667,3.333333,3.083333,3.25,3.25,1887200
3/8/1982,102,3.25,3.291667,2.979167,3.145833,3.145833,3252800
3/15/1982,103,3.145833,3.875,3.125,3.791667,3.791667,3085200
3/22/1982,104,3.791667,3.958333,3.645833,3.666667,3.666667,2403600
3/29/1982,105,3.666667,3.958333,3.625,3.916667,3.916667,974400
4/5/1982,106,3.895833,4.0625,3.833333,4,4,1924800
4/12/1982,107,4,4.125,3.916667,4.0625,4.0625,2792800
4/19/1982,108,4.0625,4.125,3.75,4.104167,4.104167,1834800
4/26/1982,109,4.104167,4.208333,3.895833,4.166667,4.166667,1873600
5/3/1982,110,4.166667,4.333333,4.166667,4.25,4.25,1849600
5/10/1982,111,4.25,4.520833,4.229167,4.5,4.5,3328000
5/17/1982,112,4.458333,4.458333,3.979167,4.083333,4.083333,1837600
5/24/1982,113,4.083333,4.166667,3.854167,3.916667,3.916667,1160400
5/31/1982,114,3.916667,4.041667,3.770833,3.770833,3.770833,916000
6/7/1982,115,3.770833,4.020833,3.6875,4.020833,4.020833,1211200
6/14/1982,116,4.020833,4.020833,3.708333,3.729167,3.729167,948000
6/21/1982,117,3.729167,4.166667,3.708333,3.895833,3.895833,2229600
6/28/1982,118,3.895833,4.125,3.875,3.895833,3.895833,1234800
7/5/1982,119,3.895833,3.958333,3.75,3.916667,3.916667,722000
7/12/1982,120,3.9375,4.395833,3.9375,4.375,4.375,4650400
7/19/1982,121,4.375,4.541667,4.3125,4.520833,4.520833,2047600
7/26/1982,122,4.520833,4.541667,4.208333,4.208333,4.208333,1528800
8/2/1982,123,4.229167,4.375,3.854167,3.875,3.875,2572800
8/9/1982,124,3.854167,3.854167,3.270833,3.5,3.5,2394800
8/16/1982,125,3.5,4.166667,3.4375,4,4,5130400
8/23/1982,126,4,5.083333,3.958333,4.75,4.75,6084400
8/30/1982,127,4.75,5.229167,4.6875,5.1875,5.1875,4439200
9/6/1982,128,5.1875,5.1875,4.6875,4.875,4.875,2022800
9/13/1982,129,4.875,5.166667,4.625,4.645833,4.645833,2594000
9/20/1982,130,4.645833,5.166667,4.5625,4.75,4.75,3209600
9/27/1982,131,4.645833,4.645833,4.3125,4.5,4.5,2501600
10/4/1982,132,4.458333,5.25,4.375,5.125,5.125,2631600
10/11/1982,133,5.125,5.416667,4.708333,5.291667,5.291667,4579200
10/18/1982,134,5.291667,6.166667,5.25,6.125,6.125,3022800
10/25/1982,135,6.083333,6.15625,5.375,5.9375,5.9375,3362000
11/1/1982,136,5.9375,7,5.84375,6.875,6.875,2378000
11/8/1982,137,6.65625,6.75,5.90625,6.15625,6.15625,2324000
11/15/1982,138,6.15625,6.1875,5.6875,5.875,5.875,1620400
11/22/1982,139,5.875,5.9375,5.625,5.6875,5.6875,805600
11/29/1982,140,5.6875,6.4375,5.46875,5.8125,5.8125,2015200
12/6/1982,141,5.8125,6.78125,5.6875,5.875,5.875,3208400
12/13/1982,142,5.875,6.1875,5.6875,6.1875,6.1875,2025200
12/20/1982,143,6.1875,6.875,6.09375,6.65625,6.65625,1594400
12/27/1982,144,6.65625,6.65625,6.15625,6.28125,6.28125,1355600
1/3/1983,145,6.28125,6.875,6.0625,6.78125,6.78125,4266800
1/10/1983,146,6.78125,8,6.71875,8,8,4393200
1/17/1983,147,8.1875,9,8.1875,8.5625,8.5625,6490000
