Date,IntDate,Open,High,Low,Close,Adj Close,Volume
5/13/1996,0,42.375,43,41.5,41.5,18.964882,403500
5/20/1996,1,41.75,44.875,41.625,44.625,20.392954,2933100
5/27/1996,2,45,46.375,44,45.75,20.907063,1955800
6/3/1996,3,45.5,45.625,42,43.25,19.764601,1736400
6/10/1996,4,43.125,43.5,42.375,42.375,19.364738,783500
6/17/1996,5,42.375,42.625,38.75,39.5,18.050911,2419800
6/24/1996,6,39.875,42.625,39.5,42.25,19.307615,2261000
7/1/1996,7,42.25,45.125,42.25,42.375,19.364738,1644900
7/8/1996,8,41.5,42.625,39.75,40.375,18.450771,1290600
7/15/1996,9,40.25,43,38.25,41.125,18.793507,1636300
7/22/1996,10,41.125,41.25,39.375,41.125,18.793507,1827500
7/29/1996,11,41,45.125,40.75,45.125,20.621441,1080700
8/5/1996,12,44.875,45.125,41.875,42.75,19.53611,1187100
8/12/1996,13,42.625,43.75,42.25,43.25,19.764601,1033800
8/19/1996,14,43.25,44,42.375,43.875,20.050211,1002500
8/26/1996,15,43.75,44.375,43,43.75,19.99309,954900
9/2/1996,16,43.5,45,42.875,44,20.107338,1781100
9/9/1996,17,44.25,47.5,44.25,47.375,21.64966,1292500
9/16/1996,18,47.25,49.875,47.25,49.25,22.615265,2414200
9/23/1996,19,49.125,49.5,47.5,49,22.500465,1386800
9/30/1996,20,48.875,49.375,48.5,49.125,22.557867,974700
10/7/1996,21,49.125,49.125,46.875,48,22.041271,1358000
10/14/1996,22,47.875,48.625,45.875,46.875,21.524673,1126200
10/21/1996,23,47,48.25,46.375,48.125,22.098673,785700
10/28/1996,24,48.125,51.375,48.125,51.125,23.476254,863700
11/4/1996,25,50.875,53.375,49.75,53.375,24.509443,1383800
11/11/1996,26,53.375,54.625,52.75,52.75,24.222443,1210000
11/18/1996,27,52.875,54.625,52.875,53.25,24.45204,1013200
11/25/1996,28,53.25,54,52.875,53,24.337242,654400
12/2/1996,29,52.875,53.125,51.375,51.75,23.763245,864700
12/9/1996,30,51.75,53.25,51.125,51.125,23.476254,1101900
12/16/1996,31,51,53.5,51,53.25,24.555168,879100
12/23/1996,32,53.125,55.5,53.125,54.375,25.073933,494100
12/30/1996,33,54.375,54.5,51.875,52,23.978765,714200
1/6/1997,34,52.25,54,51.875,52.625,24.266962,879100
1/13/1997,35,52.875,54.25,52,52.25,24.094051,639100
1/20/1997,36,52.25,54.5,51.25,53.375,24.612823,1164600
1/27/1997,37,53.125,53.625,46.875,46.875,21.615469,1926600
2/3/1997,38,47,47.5,44.625,46.875,21.615469,2528800
2/10/1997,39,46.875,48.5,46.125,46.25,21.327269,2002000
2/17/1997,40,46.125,47,45.75,46,21.211981,444900
2/24/1997,41,45.875,46,44,44.75,20.635563,965800
3/3/1997,42,44.75,44.875,35.25,38.875,17.926435,10793800
3/10/1997,43,39,39.375,36.375,37.75,17.40766,4954700
3/17/1997,44,37.5,37.5,36,36.25,16.715963,2095200
3/24/1997,45,36.25,36.5,33.625,33.75,15.656225,2236400
3/31/1997,46,33.75,34.125,31.875,32.375,15.018387,2620000
4/7/1997,47,32.5,35.5,32.125,34.625,16.062136,2857000
4/14/1997,48,34.5,35.75,34.5,35.625,16.526026,1733600
4/21/1997,49,35.25,35.375,29.875,32.875,15.250325,5412600
4/28/1997,50,32.625,33.5,32.125,33,15.308311,2166100
5/5/1997,51,33.25,36.5,32.5,35.75,16.584003,3712000
5/12/1997,52,36,37.25,35.25,36.5,16.931931,1162700
5/19/1997,53,36.5,37.125,35.375,35.5,16.468031,1440300
5/26/1997,54,35.375,36.375,34.875,36.25,16.815956,1656700
6/2/1997,55,36.125,38,36,37.5,17.395807,899800
6/9/1997,56,37.375,39.875,37,39.625,18.381567,1445200
6/16/1997,57,39.75,40.625,38.375,38.5,17.966171,1306100
6/23/1997,58,38.25,38.375,36.25,37.25,17.382851,1486400
6/30/1997,59,37,38.125,36.25,37.8125,17.645336,787300
7/7/1997,60,37.875,38.375,37.0625,37.9375,17.703671,888400
7/14/1997,61,37.875,38.5625,36.3125,36.625,17.09119,899100
7/21/1997,62,36.5625,37.875,34.5,36.0625,16.828699,2709100
7/28/1997,63,36,36.3125,34,34.0625,15.895391,1838900
8/4/1997,64,34.0625,36.75,33.625,35.25,16.449545,1526900
8/11/1997,65,36,36.5,33.4375,34.0625,15.895391,904700
8/18/1997,66,34,35.5,33.25,34.1875,15.953726,1205900
8/25/1997,67,34.375,35.25,33.5625,33.5625,15.662058,1104200
9/1/1997,68,33.8125,35.4375,27.5,28.4375,13.270464,8991800
9/8/1997,69,28.875,28.9375,26.625,26.75,12.482987,5970600
9/15/1997,70,26.9375,28.25,26.875,28,13.171436,1961800
9/22/1997,71,28,28,27.0625,27.1875,12.789228,1854300
9/29/1997,72,27.25,28.4375,27.1875,28.25,13.289038,2721900
10/6/1997,73,28.3125,28.5625,27.0625,27.625,12.995033,2285600
10/13/1997,74,27.75,27.9375,26.125,26.4375,12.436423,3683400
10/20/1997,75,26.5,27.6875,25.8125,27,12.701027,2594100
10/27/1997,76,26.25,26.5,22.75,25.0625,11.789608,3034600
11/3/1997,77,25.1875,26.75,25,25.1875,11.848411,5842300
11/10/1997,78,25.1875,25.25,23.75,23.875,11.231002,4321000
11/17/1997,79,24.25,24.25,23,24.0625,11.319202,1702900
11/24/1997,80,24,24,22.5,23.875,11.231002,908100
12/1/1997,81,24.125,25.375,23.8125,25.25,11.877812,966100
12/8/1997,82,25.375,25.875,24.75,25.625,12.054213,1415000
12/15/1997,83,25.8125,26.875,25.25,26.75,12.6932,1020200
12/22/1997,84,26.5,27.9375,26.5,27.375,12.989775,859900
12/29/1997,85,27.5,28.3125,27.1875,27.8125,13.197374,972000
1/5/1998,86,27.9375,27.9375,25,25.1875,11.951778,663400
1/12/1998,87,24.625,25.625,24.25,25.3125,12.011089,959300
1/19/1998,88,25.3125,26.625,25.1875,25.8125,12.24835,784600
1/26/1998,89,25.9375,26.5,24.5625,25.5625,12.129719,958900
2/2/1998,90,25.8125,26.4375,25.5625,26.3125,12.485608,1005300
2/9/1998,91,26.3125,27.0625,25.8125,26.875,12.752517,1020400
2/16/1998,92,26.625,27.0625,26.5,26.9375,12.782172,575000
2/23/1998,93,26.6875,27.375,26.375,26.875,12.752517,847200
3/2/1998,94,26.875,28.125,26.75,27.625,13.108402,954900
3/9/1998,95,27.5625,28.5625,27.5625,28.375,13.464293,1167200
3/16/1998,96,28.3125,28.375,27.1875,27.4375,13.019433,941400
3/23/1998,97,27.3125,27.375,25.25,26.5625,12.704724,1402700
3/30/1998,98,26.5625,27.1875,26.25,26.3125,12.585151,962800
4/6/1998,99,26.375,27.1875,25.75,26.6875,12.764519,667800
4/13/1998,100,26.75,27.375,26,27.3125,13.063449,1006700
4/20/1998,101,27.25,27.25,26.0625,26.5,12.674834,1326400
4/27/1998,102,26.4375,27.75,25.875,27.125,12.973765,1172100
5/4/1998,103,27.25,27.4375,26.875,27,12.913984,864700
5/11/1998,104,27,28.5,26.8125,28.3125,13.541747,1058800
5/18/1998,105,28.25,29,27.375,27.375,13.093345,784100
5/25/1998,106,27.125,27.125,25.9375,27,12.913984,604500
6/1/1998,107,27,27.5,25.9375,26.0625,12.465582,694900
6/8/1998,108,26.125,28.5,26.0625,26.1875,12.52537,2061600
6/15/1998,109,26,26.3125,24.8125,25.625,12.359418,1105000
6/22/1998,110,25.875,27.25,25.875,27.0625,13.052755,1222600
6/29/1998,111,26.9375,28.5,26.75,28.3125,13.655654,917000
7/6/1998,112,28.3125,28.6875,27.9375,28.4375,13.71594,943600
